train_loss,train_acc,val_loss,val_acc
1.6648692564891123,0.4036,1.5135304312797109,0.4685
1.4479475812533933,0.48432,1.4158402681350708,0.4969
1.3368948483101242,0.5238,1.3649240390510315,0.5181
1.2480957477598849,0.55402,1.3315960499131756,0.5255
1.169595249930916,0.5828,1.3154124879533318,0.5352
1.093994949098743,0.60952,1.303673784064639,0.5466
1.0217815565940973,0.63618,1.319228978673364,0.5475
0.9395980930999112,0.66598,1.3618753298073059,0.5422
0.867080590266096,0.6916,1.4132605362090336,0.5397
0.7961762300918779,0.71426,1.417220680956628,0.5431
0.7332382197575191,0.73996,1.5250492809684413,0.5291
0.67209811455301,0.75974,1.526283462336109,0.5403
