Method,Train Acc,Train Loss,Val Acc,Latency,FLOPs,Noise Acc,Rotation Acc
AutoNorm-finetune,0.7267,0.7665801922149975,0.5312,0.0012304289999883623,799872.0,0.5088,0.3495
AutoNorm_DisableSelector-finetune,0.71074,0.8088359027491201,0.5353,0.0011524829999689245,799872.0,0.5155,0.3728
AutoNorm_RandomSelector-finetune,0.7497,0.7021548368436906,0.5358,0.001178751999977976,799872.0,0.5196,0.3531
FrozenDyT-finetune,0.72868,0.7598914369902647,0.5329,0.00118806600003154,799872.0,0.5194,0.3605
FrozenLN-finetune,0.79946,0.5636087970050705,0.5365,0.0011782980000134557,799872.0,0.5175,0.364
Teacher-finetune,0.65994,0.97491514606549,0.5234,0.00011043099999369588,395008.0,0.4961,0.3533
OnlyDyT,0.76982,0.6424277042565139,0.5381,0.0012886530000105268,799872.0,0.524,0.3634
OnlyLayerNorm,0.75974,0.67209811455301,0.5403,0.001155822000000626,799872.0,0.5252,0.3531
